stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,46217,48018,54695,54155,53650,51491,54550,52930,56674,63062,52543,48912
35-Bronzeville-IIT,53326,57402,63458,63541,57731,51875,55254,59190,67369,71437,53033,49081
35th/Archer,67981,70977,81543,81260,78749,77871,78852,77772,84155,89597,73777,74131
43rd,26652,27161,30873,30499,31469,29751,33066,33108,32200,33249,27083,28172
47th-Dan Ryan,64771,70644,83505,83779,90626,85967,91203,89002,96234,101814,90034,91062
47th-South Elevated,32286,34938,39301,38057,39893,39232,42662,43651,42126,42653,32179,32384
51st,27757,28569,31834,30727,32363,29756,29950,31403,31398,33630,27283,27639
54th/Cermak,47726,48840,55074,58036,57613,58966,64673,63227,63368,65575,54277,56526
63rd-Dan Ryan,77812,82197,93573,90262,95897,89512,94195,95246,107126,112922,93411,95440
69th,120179,127862,145593,145563,154284,146313,154043,155716,166263,176380,151812,155993
79th,166945,174744,198550,195840,205361,197313,206910,207727,222370,234123,200710,208083
87th,99271,105892,120733,121493,127579,126499,134830,133069,137985,145941,124236,128834
95th/Dan Ryan,250776,267784,307614,303200,315194,300263,315011,310238,338234,355331,299442,306512
Adams/Wabash,150622,161625,181223,187840,180154,183020,197024,185285,187865,212006,161004,143773
Addison-Brown,61217,62208,69504,66009,67520,62535,60610,58896,65820,71099,57630,57862
Addison-North Main,168896,168679,206779,271231,271173,324005,318195,297420,294998,218389,181286,163820
Addison-O'Hare,61846,63440,71323,71941,75555,73781,76065,73400,81479,85716,70198,71482
Argyle,82505,81234,91618,89317,92077,88900,92389,94497,93936,99781,86893,86218
Armitage,103827,105464,118034,113302,117475,112246,107723,104508,117511,128463,99678,101751
Ashland-Lake,53321,54238,65070,62579,63973,63460,80655,72405,68678,74792,61246,62086
Ashland-Orange,35258,36760,42738,41606,42413,42205,43512,42471,44922,47987,38860,39370
Ashland/63rd,34927,34930,39757,38595,40974,40182,41710,44396,44459,45419,36898,37090
Austin-Forest Park,45668,46834,52180,54372,55272,54000,55721,54273,58686,61776,50099,49847
Austin-Lake,45404,46415,52506,53338,54907,55612,58636,57550,57351,60080,49873,51722
