stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,41483,39947,47031,45078,50403,52183,49160,0,0,0,0,0
35-Bronzeville-IIT,41031,39340,42824,42437,41393,39895,41052,0,0,0,0,0
35th/Archer,69728,67494,76222,75824,81501,77181,0,0,0,0,0,0
43rd,23610,22349,24658,24843,27796,27308,28420,0,0,0,0,0
47th-Dan Ryan,71256,66707,76065,74971,82719,79548,80330,0,0,0,0,0
47th-South Elevated,27766,26607,29733,28092,30393,28650,30961,0,0,0,0,0
51st,23280,21824,25350,24012,26047,25798,26980,0,0,0,0,0
54th/Cermak,48504,46293,52063,50799,57099,57562,58204,0,0,0,0,0
63rd-Dan Ryan,73332,70754,79511,77803,86265,81407,81686,0,0,0,0,0
69th,122969,114109,128843,125430,138577,132902,135383,0,0,0,0,0
79th,166892,157092,175061,170629,186548,180400,184925,0,0,0,0,0
87th,97951,94417,106586,102817,112542,109018,112866,0,0,0,0,0
95th/Dan Ryan,243250,230482,257811,250476,266560,251301,256652,0,0,0,0,0
Adams/Wabash,174549,166751,190464,185649,196964,179876,0,0,0,0,0,0
Addison-Brown,59947,56865,62977,60551,65375,60284,0,0,0,0,0,0
Addison-North Main,154459,148924,180402,246968,286481,307384,345696,0,0,0,0,0
Addison-O'Hare,64612,62114,70982,71608,78821,75587,75707,0,0,0,0,0
Argyle,79556,77004,85528,82554,85595,84701,85338,0,0,0,0,0
Armitage,106487,100316,111403,108296,116994,110562,0,0,0,0,0,0
Ashland-Lake,55948,53526,67944,57891,63217,60952,71066,0,0,0,0,0
Ashland-Orange,36981,35436,40295,39077,42605,42187,0,0,0,0,0,0
Ashland/63rd,27240,25774,28743,28583,30892,29975,0,0,0,0,0,0
Austin-Forest Park,44050,42282,46618,46893,48748,47426,47299,0,0,0,0,0
Austin-Lake,44090,41504,46754,44970,49273,48712,48787,0,0,0,0,0
Belmont-North Main,304608,287445,333666,315870,338855,351294,318083,0,0,0,0,0
Belmont-O'Hare,133570,128108,145408,139983,146490,141266,141369,0,0,0,0,0
Berwyn,84304,80688,90399,86002,90448,92256,88741,0,0,0,0,0
Bryn Mawr,115732,110847,125066,119839,128270,127502,127341,0,0,0,0,0
California-Cermak,31829,30958,35080,34426,37375,36799,36312,0,0,0,0,0
California-Lake,23607,22544,25162,25080,27512,27341,28095,0,0,0,0,0
California/Milwaukee,132240,126449,147627,142028,148523,145527,145066,0,0,0,0,0
Central Park,27261,26747,29454,28937,31066,31158,31758,0,0,0,0,0
Central-Evanston,17477,17011,18399,18046,19881,21035,21238,0,0,0,0,0
Central-Lake,48463,46208,52853,50732,55896,53419,54468,0,0,0,0,0
Cermak-Chinatown,96600,100514,123345,113032,126955,130680,136742,0,0,0,0,0
Cermak-McCormick Place,33352,35033,41248,39646,45292,49832,48129,0,0,0,0,0
Chicago/Franklin,163188,155559,176073,169844,177280,177013,0,0,0,0,0,0
Chicago/Milwaukee,100291,95332,108581,104392,111226,107381,104031,0,0,0,0,0
Chicago/State,346394,332641,387107,368343,385787,397451,410972,0,0,0,0,0
Cicero-Cermak,28436,27739,31798,30367,33959,33468,34271,0,0,0,0,0
Cicero-Forest Park,31232,29288,33268,32862,36739,35991,35385,0,0,0,0,0
Cicero-Lake,30837,28953,32405,31849,35316,33291,33096,0,0,0,0,0
Clark/Division,199676,189468,215569,206290,228269,230406,224276,0,0,0,0,0
Clark/Lake,466023,428829,515477,485967,527149,533778,0,0,0,0,0,0
Clinton-Forest Park,85833,80488,91536,86514,90750,88858,86660,0,0,0,0,0
Clinton-Lake,99492,94801,103821,100747,103563,106541,105921,0,0,0,0,0
Conservatory,20586,20485,24633,25031,27794,25207,26635,0,0,0,0,0
Cumberland,100943,95097,111844,107446,115927,119441,117406,0,0,0,0,0
Damen-Brown,70134,65939,75147,69842,75582,71889,0,0,0,0,0,0
