stationame,jan,feb,mar,apr,may,jun,jul,aug,sep
18th,0.1456822,0.0563116,-0.4073438,-0.8591194,-0.8694979,-0.7867281,-0.6839278,-0.6842836,-0.6556082
35-Bronzeville-IIT,0.0488884,-0.0230369,-0.4458774,-0.8616125,-0.8417625,-0.7977607,-0.7633188,-0.7563576,-0.7177283
35th/Archer,0.0798198,0.0073522,-0.4471496,-0.8816174,-0.8866369,-0.8208393,-0.7311796,-0.7347247,-0.7349571
43rd,0.0796230,-0.0023304,-0.3131786,-0.7247286,-0.7674012,-0.7257092,-0.6352862,-0.6595817,-0.6223101
47th-Dan Ryan,0.0503352,-0.0225727,-0.3393575,-0.7207804,-0.7513800,-0.6902664,-0.6252767,-0.6313728,-0.6307997
47th-South Elevated,-0.0034981,-0.0481825,-0.3466454,-0.7278815,-0.7554438,-0.6993438,-0.6169526,-0.6350602,-0.6069954
51st,-0.0526551,-0.0528641,-0.3485895,-0.7259499,-0.7569939,-0.6982316,-0.6310289,-0.6381947,-0.6191900
54th/Cermak,0.0688867,0.0080389,-0.3569238,-0.7818857,-0.7926739,-0.7154320,-0.6115075,-0.6216675,-0.6107364
63rd-Dan Ryan,0.0407280,-0.0087676,-0.2960165,-0.6626763,-0.7161800,-0.6927686,-0.6048104,-0.6213111,-0.6247867
69th,-0.0330906,-0.0752982,-0.3385922,-0.6763367,-0.7351047,-0.6775871,-0.6095790,-0.6122737,-0.5981469
79th,0.0297739,-0.0319732,-0.2952102,-0.6595164,-0.7252567,-0.6857469,-0.5989673,-0.6079114,-0.5902237
87th,0.0060851,-0.0448170,-0.3348989,-0.6997626,-0.7627913,-0.7266658,-0.6303026,-0.6378801,-0.6148805
95th/Dan Ryan,0.0297354,-0.0202186,-0.2852669,-0.6636310,-0.7112676,-0.6583315,-0.5810514,-0.5857586,-0.5742354
Adams/Wabash,0.1160507,-0.0165028,-0.4710982,-0.9284278,-0.9164867,-0.8875279,-0.8440991,-0.8460271,-0.8149677
Addison-Brown,0.1129355,0.0173113,-0.5113883,-0.9354489,-0.9398188,-0.9033503,-0.8527477,-0.8511434,-0.8497236
Addison-North Main,0.0886907,0.0290818,-0.3423218,-0.9413030,-0.9514399,-0.9378771,-0.8779857,-0.8919818,-0.8653162
