stationame,longitude,latitude,jan,feb,mar,apr,may,jun,jul,aug,sep
18th,-87.669147,41.857908,0.991300097,0.848156938,0.215709252,-0.182315363,-0.220326565,0.051374201,0.029828361,0.141297619,0.077635839
35-Bronzeville-IIT,-87.625826,41.831677,1.061110318,1.569856717,0.804080328,0.022094465,-0.43619024,-0.633259427,-0.423689201,-0.450000292,-0.342336267
35th/Archer,-87.680622,41.829353,-0.111949415,-0.327769506,-0.33246568,-0.451554117,-0.43297978,-0.159341696,0.187570008,-0.078211715,-0.122155742
43rd,-87.619021,41.816462,0.161159506,0.08060957,1.302902187,1.172053169,1.071981285,1.035862744,0.3613599,0.521965153,0.44920053
47th-Dan Ryan,-87.618826,41.809209,-0.602695787,-0.527725989,0.812410938,1.058224996,0.721640001,0.123740726,-0.149112336,-0.141461496,0.016639734
47th-South Elevated,-87.63094,41.810318,-0.664528437,-0.269558849,1.009207671,1.20986918,1.506008482,2.073846312,0.762628301,1.198798032,0.928282637
51st,-87.618487,41.80209,-0.021481841,0.489737514,1.324209764,1.359505631,1.505920062,1.667832211,0.476121556,0.747735147,0.56039783
54th/Cermak,-87.75669201,41.85177331,-0.074121027,-0.069185154,0.793501192,0.633997103,0.659957799,0.841647931,0.265977692,0.318648019,0.180132894
63rd-Dan Ryan,-87.630952,41.780536,0.344958681,0.165037502,1.62647229,1.758313787,1.164817237,0.195621286,-0.10947831,-0.159700008,-0.015602641
69th,-87.625724,41.768367,-1.370427522,-1.183384848,0.901132054,1.516245144,0.885629925,0.146238806,-0.155568153,-0.191245205,-0.005856191
79th,-87.625112,41.750419,-0.767299321,-0.643799394,1.353120614,1.674441762,1.015797204,0.170702934,-0.119699559,-0.159640627,0.032743698
87th,-87.624717,41.735372,-0.641097731,-0.675488955,1.048045707,1.336656348,0.687843811,-0.06141984,-0.183006416,-0.219733216,-0.003931284
95th/Dan Ryan,-87.624342,41.722377,-0.29097976,-0.178171835,1.484253824,1.743533305,1.197039376,0.336729534,-0.077625835,-0.13031937,0.06864068
Adams/Wabash,-87.626037,41.879507,-1.402659925,-1.368333468,-1.248975264,-0.974573106,-0.869048552,-0.829154602,-0.396975291,-0.521493217,-0.344074405
Addison-Brown,-87.674642,41.947028,0.62355907,0.525195954,-0.835698897,-0.949999457,-1.002115537,-0.869083746,-0.294198331,-0.449182721,-0.38426398
Addison-North Main,-87.653626,41.947428,0.764513441,0.779508801,0.454484032,-1.050371623,-1.165785291,-1.173843189,-0.622892701,-0.63439185,-0.441909305
Addison-O'Hare,-87.71906,41.94738,0.247295248,0.15227312,-0.304432089,-0.186758059,-0.178528378,-0.081731452,-0.283159907,-0.247820069,-0.237513334
Argyle,-87.65853,41.973453,-0.186546494,-0.442706761,-0.242148477,-0.093760992,-0.039597713,-0.412499,-0.198386443,-0.081264025,-0.07051326
Armitage,-87.652644,41.918217,0.515952981,0.35911635,-1.150272147,-1.128756353,-1.134921835,-0.873436953,-0.266890865,-0.406011223,-0.334084114
Ashland-Lake,-87.665317,41.839234,1.605196552,1.642221143,0.271466462,0.138815029,0.154165323,0.271340352,-0.118157581,0.114473554,-0.06497768
Ashland-Orange,-87.666969,41.885269,0.482891409,0.46552744,0.5176936,0.550830552,0.578803378,0.651504189,0.847046026,0.406760819,0.224414065
Ashland/63rd,-87.663766,41.77886,0.33684009,0.353011651,1.541637498,1.724171696,2.728723884,6.050289083,10.84816163,10.57030761,11.29599261
Austin-Forest Park,-87.776812,41.870851,-0.569711823,-0.634167073,0.052777163,0.097734515,0.237794687,0.200593759,-0.056148919,-0.00916168,-0.056798112
Austin-Lake,-87.774135,41.887293,-0.336744612,-0.127726909,0.576557308,0.849358092,0.787100556,0.712745336,0.129701814,0.211243472,0.162157892
Belmont-North Main,-87.712359,41.938132,0.277519642,0.473946632,-0.70041887,-0.779903648,-0.720503025,-0.533543768,-0.322626697,-0.281038083,-0.190837292
Belmont-O'Hare,-87.65338,41.939751,-0.25408011,-0.12276372,0.235757246,-0.35295333,-0.261826592,-0.125761612,-0.151627682,-0.050539873,-0.06587385
Berwyn,-87.658668,41.977984,-0.55486359,1.168628949,-0.3125313,0.167080335,0.028299686,-0.090382507,-0.155227768,0.148722817,-0.089173416
Bryn Mawr,-87.65884,41.983504,-0.567734196,-2.470744495,-0.189060597,-0.300956885,-0.207764387,-0.049187263,-0.25306215,-0.398731146,-0.108937017
California-Cermak,-87.694774,41.854109,0.767915235,0.600871515,0.979655718,0.642400502,0.559420105,0.590223417,0.25969966,0.418886011,-0.108097904
California-Lake,-87.696234,41.88422,0.161300208,0.421880717,1.067560618,0.868281089,1.043484296,0.993185482,0.330209308,0.489006534,0.339417997
California/Milwaukee,-87.69689,41.921939,0.104407514,0.000999444,-0.800075283,-0.975177673,-0.984360783,-0.894098552,-0.506810465,-0.482000967,-0.40097476
Central Park,-87.76565,41.887389,0.715126677,0.432527612,1.544703846,1.20301863,1.179430837,0.866668863,0.378794256,0.539917308,0.275499649
