stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,0.109922803,0.047174856,-0.427787219,-0.854097277,-0.871116203,-0.806315334,-0.678176397,-0.551609268,-0.521470932,,,
35-Bronzeville-IIT,0.115561704,0.103112045,-0.374520238,-0.832950908,-0.890060343,-0.879178753,-0.828937217,-0.789894449,-0.765146256,,,
35th/Archer,0.020808123,-0.043968333,-0.477415124,-0.881950253,-0.889778594,-0.828741169,-0.625739045,-0.640068605,-0.637393579,,,
43rd,0.042868422,-0.012315867,-0.329360413,-0.71398671,-0.757703603,-0.701539294,-0.567966847,-0.398205323,-0.305882455,,,
47th-Dan Ryan,-0.018831781,-0.059466472,-0.373766043,-0.72576233,-0.788449462,-0.798613591,-0.737660855,-0.665557424,-0.556861962,,,
47th-South Elevated,-0.023826297,-0.039456567,-0.35594945,-0.710074612,-0.719613489,-0.591069945,-0.434574983,-0.125450689,-0.027910451,,,
51st,0.028115617,0.019394641,-0.327431375,-0.694594595,-0.719621248,-0.634280757,-0.529817142,-0.307223023,-0.241363793,,,
54th/Cermak,0.023863701,-0.023926091,-0.375477999,-0.769649064,-0.793862676,-0.72220897,-0.599674329,-0.480139419,-0.462000308,,,
63rd-Dan Ryan,0.057714751,-0.005772064,-0.300066651,-0.653337554,-0.749556344,-0.790963568,-0.724485492,-0.672907302,-0.575569565,,,
69th,-0.080845103,-0.110284991,-0.365733857,-0.67837976,-0.774057749,-0.796219191,-0.739806933,-0.685619596,-0.5699145,,,
79th,-0.032127587,-0.068463039,-0.32481399,-0.662014186,-0.762634303,-0.79361555,-0.727883296,-0.672883372,-0.547518154,,,
87th,-0.021933688,-0.070919219,-0.352433327,-0.696958372,-0.791415407,-0.818319652,-0.748928112,-0.697099885,-0.568797635,,,
95th/Dan Ryan,0.006346996,-0.032373383,-0.312942111,-0.654866608,-0.746728537,-0.775945858,-0.713896916,-0.661067296,-0.526690084,,,
Adams/Wabash,-0.083448667,-0.124619907,-0.56038946,-0.936057009,-0.928047876,-0.900027265,-0.820056831,-0.818705145,-0.766154755,,,
Addison-Brown,0.080218621,0.022142938,-0.522974323,-0.933514844,-0.9397258,-0.904276799,-0.785891144,-0.789564979,-0.789473465,,,
Addison-North Main,0.091604172,0.041854107,-0.406170229,-0.943898429,-0.954089415,-0.936711394,-0.895157547,-0.86420179,-0.822920313,,,
Addison-O'Hare,0.049826013,-0.0067614,-0.47487716,-0.854556878,-0.867448005,-0.820481353,-0.78222169,-0.708418512,-0.704326116,,,
Argyle,0.014782565,-0.052876839,-0.46923844,-0.844936253,-0.855255486,-0.85568391,-0.754040826,-0.641298645,-0.607429688,,,
Armitage,0.071526769,0.009270514,-0.551453573,-0.952007396,-0.951380846,-0.904740097,-0.776813445,-0.77216744,-0.760358209,,,
Ashland-Lake,0.159510122,0.108720835,-0.422739353,-0.820876067,-0.838250892,-0.782905024,-0.727370704,-0.562419008,-0.604217845,,,
Ashland-Orange,0.068856229,0.017518178,-0.400447679,-0.778252714,-0.800984767,-0.742445374,-0.406512375,-0.444631135,-0.436307581,,,
Ashland/63rd,0.057058974,0.008797353,-0.307746996,-0.656869583,-0.612308303,-0.167869561,2.918113859,3.651142826,5.987620239,,,
Austin-Forest Park,-0.016167511,-0.067716461,-0.442537945,-0.825125881,-0.830911601,-0.790434363,-0.706757441,-0.612242361,-0.599471914,,,
Austin-Lake,0.002650353,-0.02846352,-0.395118573,-0.747369788,-0.782704661,-0.73592767,-0.644975911,-0.523422021,-0.472429725,,,
Belmont-North Main,0.052267381,0.018170729,-0.51072702,-0.915918289,-0.915011559,-0.868566327,-0.795341459,-0.72180493,-0.677243842,,,
Belmont-O'Hare,0.009327555,-0.028078835,-0.425972215,-0.871749919,-0.874758235,-0.825167346,-0.73849702,-0.628917222,-0.604737819,,,
Berwyn,-0.014968149,0.07201386,-0.475610406,-0.817951997,-0.849296828,-0.821402058,-0.73969378,-0.548617012,-0.618256644,,,
Bryn Mawr,-0.016007768,-0.210065096,-0.464432236,-0.866370842,-0.87001375,-0.817017777,-0.772216427,-0.769233666,-0.629723838,,,
California-Cermak,0.091878951,0.028008367,-0.358624876,-0.768779725,-0.802685838,-0.748967295,-0.601761307,-0.439744844,-0.62923697,,,
California-Lake,0.042879787,0.014135227,-0.350666585,-0.745412188,-0.760204491,-0.706081302,-0.578322099,-0.411487207,-0.369580243,,,
California/Milwaukee,0.038284296,-0.018486254,-0.519749211,-0.936119552,-0.938167647,-0.906939046,-0.856568847,-0.802790294,-0.799169358,,,
Central Park,0.08761497,0.014960441,-0.307469391,-0.710783307,-0.748273858,-0.71954607,-0.562171222,-0.390970844,-0.406666811,,,
Central-Evanston,0.124739189,0.036234259,-0.364115337,-0.721229333,-0.766541376,-0.745234132,-0.665674113,-0.575540545,-0.569923226,,,
Central-Lake,0.098340958,0.066243684,-0.253739727,-0.616753645,-0.688090345,-0.626240305,-0.499219426,-0.295638722,-0.313098232,,,
Cermak-Chinatown,0.094485005,-0.05854662,-0.548710822,-0.89827723,-0.918529246,-0.911522314,-0.867281588,-0.826380465,-0.753955495,,,
Cermak-McCormick Place,-0.342269093,-0.298089563,-0.668756128,-0.916869754,-0.911197295,-0.896011771,-0.863495523,-0.826987261,-0.822450487,,,
Chicago/Franklin,0.059971073,0.03145753,-0.513656516,-0.918249886,-0.9079912,-0.845492363,-0.70510324,-0.731312678,-0.676769182,,,
Chicago/Milwaukee,0.005371482,-0.021934588,-0.532109091,-0.930848597,-0.934021092,-0.899420759,-0.827222743,-0.757606601,-0.732289891,,,
Chicago/State,0.022366318,-0.026464627,-0.520072213,-0.90752604,-0.919998977,-0.896780837,-0.813261328,-0.748482516,-0.708503325,,,
Cicero-Cermak,0.023515863,-0.04076765,-0.347680653,-0.70312767,-0.716492192,-0.664971684,-0.489820898,-0.280335011,-0.271644642,,,
Cicero-Forest Park,-0.052395276,-0.063700302,-0.294848939,-0.643581578,-0.692775789,-0.652617211,-0.535281262,-0.389069527,-0.34241132,,,
Cicero-Lake,0.058185926,-0.001048975,-0.266700355,-0.629156061,-0.688295974,-0.666290471,-0.541793277,-0.341721174,-0.308822954,,,
Clark/Division,-0.004387928,-0.04960856,-0.50144942,-0.878949031,-0.905005427,-0.859371388,-0.802170539,-0.717665959,-0.684202256,,,
Clark/Lake,0.015195834,-0.038239928,-0.553107874,-0.944977295,-0.946510359,-0.913598818,-0.80203664,-0.827124966,-0.793718181,,,
Clinton-Forest Park,0.073141887,0.050111485,-0.470659606,-0.914780653,-0.921429579,-0.898707263,-0.846495814,-0.813700103,-0.782947215,,,
