station_name,month,year,riders
18th,1,2013,45209
18th,1,2014,46217
18th,1,2015,47085
18th,1,2016,46937
18th,1,2017,43545
18th,1,2018,41483
18th,1,2019,37774
18th,2,2013,43826
18th,2,2014,48018
18th,2,2015,47687
18th,2,2016,48592
18th,2,2017,44012
18th,2,2018,39947
18th,2,2019,39459
18th,3,2013,46890
18th,3,2014,54695
18th,3,2015,55931
18th,3,2016,53150
18th,3,2017,49918
18th,3,2018,47031
18th,3,2019,44800
18th,4,2013,49225
18th,4,2014,54155
18th,4,2015,55871
18th,4,2016,49230
18th,4,2017,47984
18th,4,2018,45078
18th,4,2019,46330
18th,5,2013,49580
18th,5,2014,53650
18th,5,2015,56885
18th,5,2016,53193
18th,5,2017,51968
18th,5,2018,50403
18th,5,2019,50367
18th,6,2013,49315
18th,6,2014,51491
18th,6,2015,55444
18th,6,2016,55314
18th,6,2017,54815
18th,6,2018,52183
18th,6,2019,46218
18th,7,2013,52531
18th,7,2014,54550
18th,7,2015,57032
18th,7,2016,51916
18th,7,2017,49672
18th,7,2018,49160
18th,7,2019,48394
18th,8,2013,53121
18th,8,2014,52930
18th,8,2015,54435
18th,8,2016,51504
18th,8,2017,50610
18th,8,2018,0
18th,8,2019,48968
18th,9,2013,52430
18th,9,2014,56674
18th,9,2015,59917
18th,9,2016,53657
18th,9,2017,52100
18th,9,2018,0
18th,9,2019,48349
18th,10,2013,59578
18th,10,2014,63062
18th,10,2015,62697
18th,10,2016,57029
18th,10,2017,54559
18th,10,2018,0
18th,10,2019,53567
18th,11,2013,50809
18th,11,2014,52543
18th,11,2015,54028
18th,11,2016,50206
18th,11,2017,47590
18th,11,2018,0
18th,11,2019,45109
18th,12,2013,46140
18th,12,2014,48912
18th,12,2015,49585
18th,12,2016,42987
18th,12,2017,41491
18th,12,2018,0
18th,12,2019,40754
35-Bronzeville-IIT,1,2013,45209
35-Bronzeville-IIT,1,2014,46217
35-Bronzeville-IIT,1,2015,47085
35-Bronzeville-IIT,1,2016,46937
35-Bronzeville-IIT,1,2017,43545
35-Bronzeville-IIT,1,2018,41483
35-Bronzeville-IIT,1,2019,37774
35-Bronzeville-IIT,2,2013,43826
35-Bronzeville-IIT,2,2014,48018
35-Bronzeville-IIT,2,2015,47687
35-Bronzeville-IIT,2,2016,48592
35-Bronzeville-IIT,2,2017,44012
35-Bronzeville-IIT,2,2018,39947
35-Bronzeville-IIT,2,2019,39459
35-Bronzeville-IIT,3,2013,46890
35-Bronzeville-IIT,3,2014,54695
35-Bronzeville-IIT,3,2015,55931
35-Bronzeville-IIT,3,2016,53150
35-Bronzeville-IIT,3,2017,49918
35-Bronzeville-IIT,3,2018,47031
35-Bronzeville-IIT,3,2019,44800
35-Bronzeville-IIT,4,2013,49225
35-Bronzeville-IIT,4,2014,54155
35-Bronzeville-IIT,4,2015,55871
35-Bronzeville-IIT,4,2016,49230
35-Bronzeville-IIT,4,2017,47984
35-Bronzeville-IIT,4,2018,45078
35-Bronzeville-IIT,4,2019,46330
35-Bronzeville-IIT,5,2013,49580
35-Bronzeville-IIT,5,2014,53650
35-Bronzeville-IIT,5,2015,56885
35-Bronzeville-IIT,5,2016,53193
35-Bronzeville-IIT,5,2017,51968
35-Bronzeville-IIT,5,2018,50403
35-Bronzeville-IIT,5,2019,50367
35-Bronzeville-IIT,6,2013,49315
35-Bronzeville-IIT,6,2014,51491
35-Bronzeville-IIT,6,2015,55444
35-Bronzeville-IIT,6,2016,55314
35-Bronzeville-IIT,6,2017,54815
35-Bronzeville-IIT,6,2018,52183
35-Bronzeville-IIT,6,2019,46218
35-Bronzeville-IIT,7,2013,52531
35-Bronzeville-IIT,7,2014,54550
35-Bronzeville-IIT,7,2015,57032
35-Bronzeville-IIT,7,2016,51916
35-Bronzeville-IIT,7,2017,49672
35-Bronzeville-IIT,7,2018,49160
35-Bronzeville-IIT,7,2019,48394
